숙소명,시군구명,포함된_고유명사,포함된_고유명사(TF-IDF),장애인편의시설
경포비치호텔,강릉시,"['강릉역', '경포대', '오죽헌']","{'강릉역': 0.206, '오죽헌': 0.191, '경포대': 0.188}","장애인 지원 객실, 엘리베이터로 이동 가능,
계단 없는 주 출입구"
더 홍씨호텔 강릉,강릉시,"['강릉', '경포대', '오죽헌', '정동진']","{'강릉': 0.212, '오죽헌': 0.138, '경포대': 0.136, '정동진': 0.133}","장애인 지원 객실
점자 안내판
계단 없는 주 출입구, 엘리베이터 이동 가능"
씨마크호텔,강릉시,"['강릉역', '경포대', '오죽헌']","{'강릉역': 0.228, '오죽헌': 0.105, '경포대': 0.104}","장애인 편의시설
엘리베이터
엘리베이터로 이동 가능
장애인 주차
엘리베이터로 위층 이동 가능"
강릉관광호텔,강릉시,"['강릉', '선교장', '오죽헌']","{'강릉': 0.344, '선교장': 0.152, '오죽헌': 0.112}","복도에 시각 경보기
휠체어 이용 가능"
Hotel Tops10,강릉시,"['강릉', '강릉역', '국제공항', '금진항', '동해', '양양', '정동진']","{'금진항': 0.175, '강릉역': 0.131, '국제공항': 0.131, '정동진': 0.117, '양양': 0.099, '강릉': 0.093, '동해': 0.088}","엘리베이터, 계단 없는 주 출입구, 시설 전체 휠체어 이용 가능, 장애인 주차"
호텔이스트나인,강릉시,"['강릉역', '오죽헌', '주문진']","{'강릉역': 0.178, '오죽헌': 0.164, '주문진': 0.152}","시설 전체가 지상층에 위치
시설 전체 휠체어 이용 가능
장애인 편의시설
엘리베이터
엘리베이터로 이동 가능
금연
엘리베이터로 위층 이동 가능
전용 출입구"
주문진리조트,강릉시,"['강릉', '경포대', '오죽헌', '주문진']","{'오죽헌': 0.151, '경포대': 0.149, '주문진': 0.139, '강릉': 0.116}","시설 전체가 지상층에 위치
엘리베이터
엘리베이터로 이동 가능
금연
키 낮은 개수대
솜 베개
엘리베이터로 위층 이동 가능"
썬크루즈호텔&리조트,강릉시,"['동해', '오죽헌', '정동진', '정동진역']","{'정동진': 0.432, '정동진역': 0.203, '오죽헌': 0.149, '동해': 0.108}","금연, 계단 없는 주 출입구
장애인 편의시설
엘리베이터"
스카이 베이 경포,강릉시,"['강릉', '강릉역', '경포호', '동해']","{'경포호': 0.209, '강릉역': 0.166, '강릉': 0.118, '동해': 0.111}","장애인 지원 객실
점자 안내판
계단 없는 주 출입구
휠체어 이용 가능"
지브,강릉시,"['강릉', '국제공항', '양양', '주문진']","{'주문진': 0.337, '국제공항': 0.197, '양양': 0.149, '강릉': 0.14}",장애인 편의시설
G7 오션뷰 펜션,강릉시,"['강릉', '국제공항', '양양', '주문진']","{'주문진': 0.374, '국제공항': 0.219, '양양': 0.165, '강릉': 0.156}",장애인 편의시설
더 클래식 펜션,강릉시,"['강릉', '경포대', '동해', '오죽헌', '주문진']","{'주문진': 0.291, '강릉': 0.242, '오죽헌': 0.158, '경포대': 0.156, '동해': 0.114}",X
벨라,강릉시,['강릉'],{'강릉': 0.376},X
영진스테이2,강릉시,"['강릉', '경포해수욕장', '대관령', '동해', '선교장', '소금강', '오죽헌', '주문진', '중앙시장', '평창']","{'주문진': 0.295, '강릉': 0.246, '소금강': 0.116, '경포해수욕장': 0.109, '선교장': 0.109, '중앙시장': 0.086, '오죽헌': 0.08, '대관령': 0.069, '동해': 0.058, '평창': 0.054}",X
강릉씨티호텔,강릉시,"['강릉', '경포대']","{'강릉': 0.204, '경포대': 0.131}","장애인 지원 객실, 시설 전체가 지상층에 위치
점자 안내판"
웨이블루,강릉시,"['강릉', '대포항', '주문진', '평창']","{'주문진': 0.371, '강릉': 0.309, '대포항': 0.126, '평창': 0.09}",X
컨피네스 오션 스위트,강릉시,"['강릉', '경포대', '사천항', '정동진']","{'사천항': 0.169, '경포대': 0.122, '정동진': 0.119, '강릉': 0.095}","장애인 지원 객실,서비스 로봇
점자 안내판
계단 없는 주 출입구
휠체어 이용 가능"
SL호텔 강릉,강릉시,"['강릉', '동해', '오죽헌', '주문진']","{'주문진': 0.414, '강릉': 0.23, '오죽헌': 0.15, '동해': 0.108}","시설 전체가 지상층에 위치
장애인 편의시설
엘리베이터
장애인 주차
금연
반려동물 동반 불가
엘리베이터로 위층 이동 가능"
경포수 호텔,강릉시,"['강릉', '오죽헌', '주문진']","{'오죽헌': 0.152, '주문진': 0.14, '강릉': 0.117}","시설 전체가 지상층에 위치
금연 객실 이용 가능
시설 전체 휠체어 이용 가능
장애인 편의시설
엘리베이터
엘리베이터로 이동 가능
솜 베개
엘리베이터로 위층 이동 가능"
브라운도트호텔 경포,강릉시,"['강릉', '대관령', '주문진']","{'주문진': 0.173, '대관령': 0.161, '강릉': 0.144}",X
페리아902 오션뷰 키즈 가족 펜션,강릉시,"['강릉', '경포대', '사천항', '정동진']","{'사천항': 0.259, '경포대': 0.188, '정동진': 0.184, '강릉': 0.147}",X
남문로프트,강릉시,"['강릉', '남대천']","{'강릉': 0.282, '남대천': 0.153}",X
사천 스테이 195 호텔,강릉시,"['강릉', '경포해수욕장']","{'경포해수욕장': 0.398, '강릉': 0.225}",X
강릉 스테이큐 나인,강릉시,"['강릉', '대포항', '주문진', '평창']","{'주문진': 0.427, '대포항': 0.145, '강릉': 0.119, '평창': 0.104}",X
강릉 호텔주노,강릉시,"['강릉', '경포호', '정동진']","{'경포호': 0.24, '정동진': 0.17, '강릉': 0.135}","엘리베이터
공용 공간에서 흡연 금지"
파인아트라벨 호텔,강릉시,['강릉'],{'강릉': 0.334},"솜 베개
엘리베이터로 위층 이동 가능
계단으로 위층 이동 가능"
썬리치펜션,강릉시,"['강릉', '주문진']","{'강릉': 0.259, '주문진': 0.156}",X
호텔큐브,강릉시,"['강릉', '강릉역', '경포대', '동해', '양양국제공항', '오죽헌']","{'양양국제공항': 0.162, '강릉역': 0.152, '오죽헌': 0.141, '경포대': 0.139, '강릉': 0.108, '동해': 0.102}",장애인 지원 객실
스테이 수안,강릉시,"['강릉', '대포항', '주문진', '평창']","{'주문진': 0.453, '대포항': 0.154, '강릉': 0.126, '평창': 0.11}",X
강릉 그레이 호텔,강릉시,"['강릉', '경포대', '정동진']","{'경포대': 0.169, '정동진': 0.165, '강릉': 0.131}","시설 전체가 지상층에 위치
장애인 편의시설
엘리베이터로 이동 가능
엘리베이터로 위층 이동 가능"
음악시간펜션,강릉시,"['강릉', '국제공항', '양양']","{'국제공항': 0.263, '양양': 0.199, '강릉': 0.187}",X
강릉 휴 펜션,강릉시,"['강릉', '오죽헌', '주문진']","{'주문진': 0.369, '오죽헌': 0.2, '강릉': 0.154}",X
강릉 경포대 빅토리아,강릉시,[],{},X
강릉 오션그레이트펜션,강릉시,"['강릉', '강릉역', '정동진', '평창']","{'강릉': 0.285, '강릉역': 0.133, '정동진': 0.119, '평창': 0.083}",X
파라다이스모텔,강릉시,"['강릉', '오죽헌']","{'강릉': 0.26, '오죽헌': 0.169}","금연
엘리베이터
엘리베이터로 위층 이동 가능"
스테이올라,강릉시,[],{},X
강릉 루소 호텔,강릉시,"['강릉', '오죽헌', '주문진']","{'오죽헌': 0.228, '주문진': 0.21, '강릉': 0.175}",엘리베이터
강릉 돌고래스파펜션,강릉시,"['강릉', '경포대', '평창']","{'경포대': 0.142, '강릉': 0.11, '평창': 0.096}",X
강릉 그란데마레 풀빌라펜션,강릉시,[],{},X
강릉 올림피아 호텔,강릉시,"['강릉', '경포대', '정동진', '주문진']","{'경포대': 0.175, '정동진': 0.171, '주문진': 0.164, '강릉': 0.136}",X
하슬라뮤지엄호텔,강릉시,"['강릉', '레일바이크', '정동진']","{'정동진': 0.27, '레일바이크': 0.138, '강릉': 0.108}","장애인 편의시설
엘리베이터
금연
솜 베개"
세인트 존스 호텔,강릉시,"['강릉', '강릉역', '동해']","{'강릉역': 0.131, '강릉': 0.093, '동해': 0.088}","시설 전체가 지상층에 위치
요청 시 반려동물 동반 가능 (수수료 별도)
장애인 편의시설
엘리베이터
엘리베이터로 이동 가능
금연
엘리베이터로 위층 이동 가능"
봉모텔,강릉시,"['강릉', '경포대', '정동진', '주문진']","{'경포대': 0.174, '정동진': 0.17, '주문진': 0.162, '강릉': 0.135}",x
루이스호텔,강릉시,"['강릉', '강릉역', '경포대', '중앙시장']","{'강릉역': 0.198, '중앙시장': 0.198, '경포대': 0.181, '강릉': 0.141}","시설 전체가 지상층에 위치
시설 전체 휠체어 이용 가능
항알러지
항알러지 베개
금연
키 낮은 개수대
솜 베개
전용 출입구
롤인 샤워
엘리베이터
샤워 의자
엘리베이터로 이동 가능
장애인 욕실
장애인 화장실
엘리베이터로 위층 이동 가능
계단으로 위층 이동 가능"
오월의정원,강릉시,"['강릉', '국제공항', '양양']","{'강릉': 0.337, '국제공항': 0.237, '양양': 0.179}",X
카리브모텔,강릉시,"['레일바이크', '정동진', '정동진역']","{'정동진': 0.575, '정동진역': 0.203, '레일바이크': 0.147}",X
강릉 퀴스테 스파펜션,강릉시,"['강릉', '경포대', '정동진']","{'경포대': 0.183, '정동진': 0.179, '강릉': 0.142}",가족용 객실
델피노,고성군,"['동해', '설악산', '속초']","{'설악산': 0.106, '동해': 0.102, '속초': 0.096}","금연 객실 이용 가능
장애인 편의시설
엘리베이터
지정 흡연 구역"
파랑뷰 호텔,고성군,[],{},"장애인 지원 객실
점자 안내판
복도 난간
계단 난간
수영장 램프 이용 가능
계단 없는 주 출입구
휠체어 이용 가능"
일성설악콘도,고성군,"['고성', '낙산사', '속초']","{'속초': 0.291, '고성': 0.229, '낙산사': 0.198}","엘리베이터
엘리베이터로 위층 이동 가능"
㈜포유리조트,고성군,"['고성', '국제공항', '낙산사', '속초', '양양', '중앙시장']","{'속초': 0.31, '국제공항': 0.165, '중앙시장': 0.165, '고성': 0.162, '낙산사': 0.141, '양양': 0.124}",X
소노펠리체 델피노,고성군,"['설악산', '속초']","{'속초': 0.339, '설악산': 0.125}","금연 객실 이용 가능
엘리베이터"
설악썬밸리,고성군,"['고성', '낙산사']","{'고성': 0.179, '낙산사': 0.155}",엘리베이터
금강산콘도,고성군,"['고성', '설악산', '속초']","{'고성': 0.238, '설악산': 0.084, '속초': 0.076}",X
고성 아야진스테이,고성군,['동해'],{'동해': 0.137},X
이랜드파크 켄싱턴 리조트 설악밸리,고성군,"['고성', '설악', '설악산', '속초', '토성면']","{'설악': 0.267, '토성면': 0.186, '고성': 0.152, '설악산': 0.107, '속초': 0.097}","시설 전체가 지상층에 위치
금연 객실 이용 가능
요청 시 반려동물 동반 가능 (수수료 별도)
장애인 편의시설
엘리베이터
다국어를 구사하는 직원
솜 베개
계단으로 위층 이동 가능"
이랜드파크 켄싱턴 리조트 설악비치,고성군,"['고성', '낙산사', '대포항', '동해', '봉포항', '설악산', '속초']","{'동해': 0.19, '봉포항': 0.179, '고성': 0.14, '대포항': 0.124, '낙산사': 0.121, '설악산': 0.098, '속초': 0.089}","시설 전체 휠체어 이용 가능
장애인 편의시설
엘리베이터
다국어를 구사하는 직원
엘리베이터로 이동 가능
장애인 주차
금연
엘리베이터로 위층 이동 가능
지정 흡연 구역
전용 출입구"
오션투유리조트,고성군,"['고성', '국제공항', '낙산사', '속초', '양양', '중앙시장']","{'속초': 0.314, '국제공항': 0.167, '중앙시장': 0.167, '고성': 0.164, '낙산사': 0.143, '양양': 0.126}","시설 전체가 지상층에 위치
요청 시 반려동물 동반 가능 (수수료 별도)
장애인 편의시설
엘리베이터
엘리베이터로 이동 가능
금연
솜 베개
엘리베이터로 위층 이동 가능
지정 흡연 구역"
고성 롱비치275,고성군,[],{},X
파인 리즈 리조트,고성군,"['고성', '낙산사', '속초', '중앙시장']","{'속초': 0.281, '중앙시장': 0.224, '고성': 0.221, '낙산사': 0.192}",X
아이파크콘도,고성군,"['동해', '미시령']","{'미시령': 0.158, '동해': 0.088}","장애인 주차장, 경사로, 엘리베이터, 장애인 전용 화장실"
까사델아야,고성군,['동해안'],{'동해안': 0.207},X
스테이가진,고성군,"['강원도', '고성군', '동해']","{'동해': 0.296, '고성군': 0.256, '강원도': 0.115}",X
레이크오션,고성군,"['강원도', '고성군', '봉포항', '속초', '토성면']","{'봉포항': 0.179, '속초': 0.179, '토성면': 0.171, '고성군': 0.165, '강원도': 0.074}",X
숲속의 정원,고성군,[],{},X
르네블루바이워커힐,고성군,"['강원도', '고성군', '죽도', '죽왕면']","{'죽왕면': 0.149, '고성군': 0.129, '죽도': 0.129, '강원도': 0.058}",X
선샤인비치,고성군,"['강원도', '고성', '고성군', '낙산사', '대포항', '설악산', '토성면']","{'토성면': 0.146, '고성군': 0.14, '고성': 0.119, '대포항': 0.106, '낙산사': 0.103, '설악산': 0.084, '강원도': 0.063}",X
설악의정원,고성군,['설악산'],{'설악산': 0.13},X
서로재,고성군,[],{},X
g2002,고성군,"['강원도', '고성']","{'고성': 0.278, '강원도': 0.147}",X
청간정콘도,고성군,"['고성', '동해', '만경창파', '설악산', '속초']","{'동해': 0.101, '만경창파': 0.101, '속초': 0.095, '고성': 0.074, '설악산': 0.052}",X
뉴동해관광호텔,동해시,"['동해', '동해시', '망상', '묵호항']","{'동해': 0.268, '동해시': 0.232, '묵호항': 0.194, '망상': 0.188}","장애인 지원 객실
계단 없는 주 출입구
복도에 시각 경보기
휠체어 이용 가능"
동해현진관광호텔㈜,동해시,"['동해', '망상', '묵호항']","{'동해': 0.244, '묵호항': 0.176, '망상': 0.171}","장애인 지원 객실
점자 안내판
계단 없는 주 출입구"
동해글로리아 관광호텔,동해시,['동해'],{'동해': 0.262},"시설 전체가 지상층에 위치
엘리베이터
엘리베이터로 이동 가능
엘리베이터로 위층 이동 가능"
㈜동해보양온천 컨벤션호텔,동해시,"['동해', '망상', '묵호항', '정동진']","{'동해': 0.261, '묵호항': 0.126, '망상': 0.122, '정동진': 0.116}","금연 객실 이용 가능
엘리베이터
엘리베이터로 위층 이동 가능"
망상해오름가족호텔,동해시,"['동해', '망상', '망상역', '묵호항']","{'망상': 0.309, '망상역': 0.22, '묵호항': 0.159, '동해': 0.11}",엘리베이터
이스트하우스,동해시,"['동해', '망상', '정동진']","{'망상': 0.269, '동해': 0.192, '정동진': 0.128}",X
골든스타비치 펜션,동해시,"['동해', '망상']","{'망상': 0.31, '동해': 0.221}",X
동해 828 오션뷰 스파 펜션,동해시,['동해'],{'동해': 0.089},X
동해 어달오션펜션,동해시,[],{},X
동해 선샤인,동해시,[],{},X
아이체크호텔,동해시,['동해'],{'동해': 0.105},"장애인 편의시설,
계단 없는 주 출입구
엘리베이터
금연
솜 베개
엘리베이터로 위층 이동 가능"
동해 안녕동해야,동해시,"['대진해수욕장', '동해', '동해시', '묵호항']","{'동해': 0.447, '대진해수욕장': 0.21, '동해시': 0.193, '묵호항': 0.161}",X
동해 동해를그리다 펜션,동해시,"['동해', '묵호항', '정동진']","{'동해': 0.39, '묵호항': 0.188, '정동진': 0.173}",X
동해 스테이하몽,동해시,"['대진해수욕장', '동해', '망상', '묵호항']","{'동해': 0.451, '대진해수욕장': 0.212, '묵호항': 0.163, '망상': 0.158}",X
호텔피카소,동해시,"['동해', '묵호항', '정동진']","{'묵호항': 0.146, '정동진': 0.135, '동해': 0.101}",엘리베이터
동해한옥 동안재,동해시,"['동해', '동해시']","{'동해시': 0.19, '동해': 0.11}","장애인 전용 주차구역 있음, 무장애 편의시설, 출입구까지 턱이 없어 휠체어 접근 가능함"
호텔여기어때 묵호점,동해시,"['동해', '망상', '묵호역']","{'묵호역': 0.28, '망상': 0.196, '동해': 0.14}",X
호텔이스트 (현 애슈리모텔),동해시,"['강원도', '동해', '환선굴']","{'환선굴': 0.213, '동해': 0.124, '강원도': 0.096}",X
동해망상해변한옥촌,동해시,"['강원도', '동해', '망상']","{'망상': 0.482, '동해': 0.229, '강원도': 0.089}",장애인 주차구역 있음
너랑온펜션,동해시,"['동해', '망상']","{'동해': 0.573, '망상': 0.402}",X
올리브펜션,동해시,"['동해', '망상', '묵호항']","{'묵호항': 0.203, '망상': 0.197, '동해': 0.14}",X
망상파크펜션,동해시,"['동해', '동해안', '망상']","{'동해안': 0.34, '망상': 0.325, '동해': 0.116}",X
동해 글로리아펜션,동해시,"['동해', '망상']","{'동해': 0.283, '망상': 0.099}",X
동쪽바다프리미엄하우스(카페앤라씨),동해시,['동해시'],{'동해시': 0.178},X
황토민박펜션,동해시,[],{},X
망상펜션,동해시,"['망상', '묵호항']","{'묵호항': 0.388, '망상': 0.376}",X
아이체크 현진호텔,동해시,"['강원도', '동해', '이마트']","{'이마트': 0.283, '동해': 0.141, '강원도': 0.11}","장애인 주차구역 있음, 대중교통 이용 가능, 출입구까지 턱이 없이 접근 가능, 출입구까지 경사로 설치, 지체장애인을 위한 장애인객실 있음, 점자블록 있음, 반려견 동반 가능, 점자 안내 있음"
쏠비치호텔삼척 ,삼척시,"['봉황산', '삼척', '삼척해변역']","{'삼척': 0.368, '삼척해변역': 0.173, '봉황산': 0.162}","금연 객실 이용 가능
엘리베이터"
삼척 NS 호스텔,삼척시,[],{},엘리베이터
라온스파펜션,삼척시,['삼척'],{'삼척': 0.706},X
씨스포빌콘도,삼척시,"['동해', '묵호항', '삼척']","{'묵호항': 0.148, '삼척': 0.146, '동해': 0.103}","점자 안내판, 엘리베이터
계단 없는 주 출입구"
힐스노클비치 호텔,삼척시,"['묵호항', '삼척', '장호', '장호항']","{'장호': 0.223, '장호항': 0.216, '묵호항': 0.186, '삼척': 0.183}","시설 전체가 지상층에 위치
엘리베이터
엘리베이터로 이동 가능
엘리베이터로 위층 이동 가능"
라벤다모텔,삼척시,"['강원', '광진항', '봉황산', '삼척', '삼척시']","{'광진항': 0.175, '봉황산': 0.164, '삼척시': 0.146, '삼척': 0.124, '강원': 0.116}",엘리베이터 있음.
신리마을회(너와마을),삼척시,[],{},X
그라시아펜션,삼척시,"['강원도', '궁촌항', '근덕면', '레일바이크', '삼척시', '장호항']","{'궁촌항': 0.171, '근덕면': 0.161, '삼척시': 0.143, '장호항': 0.143, '레일바이크': 0.117, '강원도': 0.066}",X
그린향펜션,삼척시,['삼척'],{'삼척': 0.581},X
삼척비치모텔,삼척시,['삼척'],{'삼척': 0.673},X
용화호텔,삼척시,"['강원도', '근덕면', '동해', '레일바이크', '삼척시', '장호항', '환선굴']","{'근덕면': 0.16, '환선굴': 0.147, '삼척시': 0.142, '장호항': 0.142, '레일바이크': 0.116, '동해': 0.085, '강원도': 0.066}",X
펜션오라,삼척시,['장호'],{'장호': 0.257},X
정원가든 애견동반펜션,삼척시,[],{},X
꽃내음펜션,삼척시,[],{},X
힐링캠프 애견동반 펜션,삼척시,"['강원', '동해', '동해안', '삼척시']","{'삼척시': 0.142, '동해안': 0.125, '강원': 0.113, '동해': 0.085}",X
신나개 애견펜션,삼척시,['삼척'],{'삼척': 0.187},X
나디아민박,삼척시,['삼척'],{'삼척': 0.151},X
해마루 펜션,삼척시,"['레일바이크', '장호', '장호항']","{'장호': 0.564, '장호항': 0.137, '레일바이크': 0.111}",X
더블유펜션[한국관광 품질인증/Korea Quality],삼척시,"['강원도', '레일바이크', '삼척']","{'삼척': 0.212, '레일바이크': 0.204, '강원도': 0.116}",X
코아페바다펜션,삼척시,"['강원도', '레일바이크', '삼척', '장호항']","{'삼척': 0.313, '장호항': 0.184, '레일바이크': 0.15, '강원도': 0.085}",점자블록 있음
향초목원,삼척시,"['동해안', '삼척', '환선굴']","{'환선굴': 0.126, '동해안': 0.107, '삼척': 0.103}",X
로즈밸리,삼척시,"['레일바이크', '임원항', '장호', '환선굴']","{'임원항': 0.186, '장호': 0.161, '환선굴': 0.161, '레일바이크': 0.127}",X
티오피모텔,삼척시,"['레일바이크', '삼척', '삼척시']","{'삼척': 0.32, '삼척시': 0.188, '레일바이크': 0.154}",엘리베이터 있음.
솔향기가득한집,삼척시,[],{},X
마레몬스호텔,속초시,"['대포항', '설악', '설악산', '속초']","{'속초': 0.207, '대포항': 0.144, '설악': 0.142, '설악산': 0.114}","장애인 지원 객실
점자 안내판
계단 난간
휠체어 이용 가능"
켄싱턴스타호텔,속초시,"['설악', '설악동', '설악산', '속초']","{'설악': 0.215, '설악동': 0.157, '속초': 0.156, '설악산': 0.086}","장애인 지원 객실
계단 없는 주 출입구, 엘리베이터 위층 이동 가능"
체스터톤스 속초,속초시,['속초'],{'속초': 0.33},"금연 객실 이용 가능
장애인 편의시설
엘리베이터
엘리베이터로 이동 가능
솜 베개
엘리베이터로 위층 이동 가능"
베니키아 산과 바다 대포항,속초시,"['대포항', '설악', '설악산', '속초']","{'설악': 0.285, '속초': 0.207, '대포항': 0.144, '설악산': 0.114}",엘리베이터
롯데리조트 속초,속초시,"['동해', '속초', '중앙시장']","{'속초': 0.411, '중앙시장': 0.164, '동해': 0.11}","시설 전체가 지상층에 위치
금연 객실 이용 가능
장애인 편의시설
엘리베이터
솜 베개, 엘리베이터로 위층 이동 가능"
비즈니스 호텔 카멜,속초시,"['국제공항', '속초', '양양']","{'속초': 0.397, '국제공항': 0.211, '양양': 0.159}","시설 전체 휠체어 이용 가능
장애인 편의시설
엘리베이터
엘리베이터로 이동 가능
항알러지
항알러지 베개
알러지프리 객실
금연
솜 베개
장애인 화장실
엘리베이터로 위층 이동 가능
계단 없는 주 출입구"
베니키아 산과 바다 속초,속초시,"['낙산사', '대포항', '속초', '중앙시장']","{'속초': 0.313, '중앙시장': 0.166, '대포항': 0.145, '낙산사': 0.142}","장애인 편의시설
엘리베이터"
호텔굿모닝,속초시,"['대포항', '속초']","{'속초': 0.417, '대포항': 0.145}","엘리베이터
엘리베이터로 이동 가능
항알러지 베개
금연
솜 베개
엘리베이터로 위층 이동 가능
전용 출입구"
호텔더블루테라,속초시,"['낙산사', '낙산해수욕장', '속초']","{'속초': 0.302, '낙산해수욕장': 0.164, '낙산사': 0.137}",엘리베이터
스테이호스텔,속초시,['속초'],{'속초': 0.402},X
속초비치호스텔,속초시,['속초'],{'속초': 0.224},X
속초 화이트하우스 수영장펜션,속초시,['속초'],{'속초': 0.089},X
씨크루즈 호텔 속초,속초시,"['설악', '설악산', '속초']","{'속초': 0.191, '설악': 0.132, '설악산': 0.106}","장애인 지원 객실
점자 안내판
계단 없는 주 출입구
복도에 시각 경보기
휠체어 이용 가능"
더 호텔 속초 바이 베스트 웨스턴 시그니처 컬렉션,속초시,"['대포항', '설악', '속초']","{'속초': 0.333, '대포항': 0.155, '설악': 0.153}","알러지프리 객실
장애인 편의시설
엘리베이터"
마리나베이 속초,속초시,"['대포항', '속초']","{'속초': 0.221, '대포항': 0.154}","금연
시설 전체가 지상층에 위치
시설 전체 휠체어 이용 가능
엘리베이터
솜 베개
엘리베이터로 이동 가능
엘리베이터로 위층 이동 가능"
속초 소노레지던스,속초시,"['대포항', '설악', '속초']","{'속초': 0.44, '대포항': 0.153, '설악': 0.152}",X
팜파스 호텔&리조트 속초,속초시,"['설악', '설악산', '속초']","{'속초': 0.202, '설악': 0.139, '설악산': 0.112}","장애인 편의시설
엘리베이터"
더펠리스,속초시,"['설악산', '속초']","{'속초': 0.552, '설악산': 0.152}",X
르컬렉티브 속초중앙,속초시,"['설악산', '속초']","{'속초': 0.301, '설악산': 0.111}","장애인 지원 객실
점자 안내판
복도 난간
계단 난간
계단 없는 주 출입구
휠체어 이용 가능"
어반스테이 속초등대해변,속초시,['속초'],{'속초': 0.197},X
설악파인리조트,속초시,"['설악', '설악산', '속초', '양양국제공항']","{'속초': 0.188, '양양국제공항': 0.16, '설악': 0.13, '설악산': 0.104}","장애인 편의시설
엘리베이터
솜 베개
지정 흡연 구역
방음시설"
신세계영랑호리조트,속초시,"['속초', '중앙시장']","{'속초': 0.3, '중앙시장': 0.24}",X
한화호텔앤드리조트(쏘라노),속초시,"['설악', '설악산', '속초']","{'설악': 0.384, '속초': 0.186, '설악산': 0.103}","장애인 편의시설
엘리베이터"
현대수콘도미니엄,속초시,"['설악', '설악산', '속초']","{'속초': 0.403, '설악': 0.139, '설악산': 0.111}","장애인 편의시설
엘리베이터
금연
솜 베개
전용 출입구"
도미니클라바 속초,속초시,['속초'],{'속초': 0.244},엘리베이터
금호설악콘도,속초시,"['설악', '설악산', '속초']","{'속초': 0.277, '설악': 0.127, '설악산': 0.102}",엘리베이터
라마다 속초,속초시,"['대포항', '동해', '속초']","{'속초': 0.252, '대포항': 0.175, '동해': 0.134}","장애인 지원 객실
점자 안내판
휠체어 이용 가능, 솜 베개"
호텔 아마란스,속초시,"['강원도', '설악산', '속초', '속초시']","{'설악산': 0.247, '속초': 0.224, '속초시': 0.17, '강원도': 0.093}","출입구까지 경사로가 설치되어 있음, 엘리베이터 있음"
송월파크,속초시,"['강원도', '낙산사', '대포항', '설악산', '속초']","{'설악산': 0.179, '속초': 0.163, '강원도': 0.135, '대포항': 0.113, '낙산사': 0.111}",X
더케이설악산가족호텔,속초시,"['강원도', '설악산', '속초']","{'설악산': 0.05, '속초': 0.046, '강원도': 0.038}","장애인 주차장 있음(4대), 출입구까지 경사로가 설치되어 있음, 휠체어 대여 가능(1대), 엘리베이터 있음, 장애인 화장실 있음(1층), 점자블록 있음(주출입구, 엘리베이터 앞)_시각장애인 편의시설, 보조견동반 가능, 안내요원 있음"
화이트스테이션 호스텔,속초시,['속초'],{'속초': 0.223},X
바다향기펜션,속초시,[],{},X
해림모텔,속초시,"['대청봉', '설악', '설악동', '설악산', '속초', '속초시']","{'설악동': 0.334, '설악산': 0.275, '속초': 0.25, '대청봉': 0.159, '속초시': 0.126, '설악': 0.114}",X
호텔 느낌,속초시,"['설악산', '속초', '속초시']","{'속초': 0.406, '속초시': 0.206, '설악산': 0.149}",X
위너스모텔,속초시,"['설악산', '속초', '속초시']","{'속초': 0.397, '속초시': 0.201, '설악산': 0.146}",장애인 휠체어길 있음
광림모텔,속초시,"['강원도', '속초시']","{'속초시': 0.22, '강원도': 0.12}",X
대궐파크,속초시,['오색'],{'오색': 0.088},X
조양펜션,속초시,['속초'],{'속초': 0.423},X
미라지모텔,속초시,[],{},X
헬리오스모텔,속초시,"['강원도', '동해안', '설악산', '속초', '속초시', '장사항']","{'속초시': 0.32, '장사항': 0.202, '동해안': 0.165, '설악산': 0.116, '속초': 0.105, '강원도': 0.087}","장애인 전용 주차구역 있음, 무장애 편의시설, 엘리베이터 있음, 장애인 화장실 있음, 장애인 객실 있음, 점자블록 있음_시각장애인 편의시설"
아이리스모텔,속초시,[],{},X
더 레드 하우스,속초시,"['동해안', '설악', '설악산']","{'동해안': 0.223, '설악': 0.098, '설악산': 0.078}","출입구까지 경사로가 설치되어 있음, 반려견 동반 가능(사전문의)"
설악산파크리조트,속초시,"['대포항', '설악산', '속초']","{'설악산': 0.35, '대포항': 0.147, '속초': 0.106}",출입구까지 경사로가 설치되어 있음
위드유[한국관광 품질인증/Korea Quality],속초시,"['강원', '속초', '속초시']","{'속초시': 0.178, '강원': 0.167, '속초': 0.117}",X
설악힐호텔,속초시,"['동해', '속초']","{'속초': 0.277, '동해': 0.118}","출입구까지 턱이 없어 휠체어 접근 가능함, 엘리베이터 있음"
(주)척산온천휴양촌,속초시,"['설악산', '속초']","{'설악산': 0.191, '속초': 0.058}",X
리센 오션파크 속초,속초시,"['강릉', '속초', '속초시', '조양동']","{'조양동': 0.185, '속초시': 0.152, '강릉': 0.114, '속초': 0.1}",X
컨피네스 비치호텔,속초시,"['강원도', '속초', '속초시', '조양동']","{'조양동': 0.144, '속초시': 0.118, '속초': 0.078, '강원도': 0.065}",X
팜파스리조트,속초시,"['강릉', '동해', '설악산', '속초', '속초시', '조양동']","{'조양동': 0.17, '속초시': 0.14, '강릉': 0.104, '설악산': 0.101, '동해': 0.098, '속초': 0.092}",X
